Date,Text,sentiment_score
2023-01-01,What Happened To Amazon’s Employees After AI Automated Their Work  Medium,-0.8817014098167419
2023-01-03,Configure granular access controls using resource tags in Amazon Connect  Amazon Web Services,0.027977360412478447
2023-01-03,Amazon secures $8 billion term loan  Reuters,0.8244191408157349
2023-01-03,"Oregon health agency approves Amazon, One Medical acquisition, moving $3.9B deal one step forward  Fierce Healthcare",0.4658263027667999
2023-01-04,"Amazon says it will cut over 18,000 jobs, more than initially planned  CNBC",-0.9574909806251526
2023-01-04,Lula revives $1 billion Amazon Fund and environmental protections  Climate Home News,0.42479994893074036
2023-01-04,"Amazon CEO says company will lay off more than 18,000 workers  NPR",-0.9595898389816284
2023-01-04,Amazon Lending Program Growing Despite Fears About Payback Rate  Business Insider,0.9077013731002808
2023-01-04,"Amazon to slash more than 18,000 jobs in an escalation of cuts  Los Angeles Times",-0.9519679546356201
2023-01-05,3 startups backed by Amazon’s Alexa Fund on display at CES 2023  About Amazon,0.061131201684474945
2023-01-05,The 9 best things Amazon announced at CES 2023  About Amazon,0.03403085470199585
2023-01-05,Amazon Will Take Years to Recover From Warehouse Overbuilding Binge  Business Insider,-0.6091666221618652
2023-01-05,Update from CEO Andy Jassy on role eliminations  About Amazon,-0.059235651046037674
2023-01-05,"Amazon to axe 18,000 jobs as it cuts costs  BBC",-0.943875253200531
2023-01-05,Amazon S3 Encrypts New Objects By Default | Amazon Web Services  Amazon Web Services,-0.0028875768184661865
2023-01-05,Amazon drought resilience – emerging results point to new empirical needs  Wiley,0.8268524408340454
2023-01-05,"Amazon to cut 18,000 jobs as layoffs expand in tech sector  Reuters",-0.9613024592399597
2023-01-05,"Amazon will lay off more than 18,000 workers  CNN",-0.9610399007797241
2023-01-05,"Amazon Layoffs to Hit Over 18,000 Workers, the Most in Recent Tech Wave  The Wall Street Journal",-0.954282820224762
2023-01-06,Introducing Amazon Marketing Cloud Uploader from AWS  Amazon Web Services,0.007378518581390381
2023-01-06,Build a search application with Amazon OpenSearch Serverless  Amazon Web Services,0.02019410766661167
2023-01-06,Amazon windthrow disturbances are likely to increase with storm frequency under global warming  Nature,-0.8486813306808472
2023-01-09,Get smarter search results with the Amazon Kendra Intelligent Ranking and OpenSearch plugin  Amazon Web Services,0.11817712336778641
2023-01-09,How Amazon delivers to Japan's most remote islands  About Amazon,0.04002790525555611
2023-01-09,Amazon and Barnes & Noble: A Giant Irony  The Robin Report,0.011528842151165009
2023-01-10,‘Lack of respect’: outcry over Amazon employee’s death on warehouse floor  The Guardian,-0.7328463196754456
2023-01-10,"Building high-quality, cost-effective apps in Southeast Asia with Amazon Location Service  Amazon Web Services",0.40544405579566956
2023-01-10,Amazon faces renewed pressure from UK lawmakers over warehouse conditions  Reuters,-0.9529253244400024
2023-01-10,Amazon's Buy with Prime increases shopper conversion by 25% on average  About Amazon,0.7715520262718201
2023-01-11,Amazon union victory at Staten Island warehouse upheld by federal labor board  CNBC,-0.7747498154640198
2023-01-12,How to configure certificate-based authentication for Amazon WorkSpaces  Amazon Web Services,0.0252669807523489
2023-01-12,Amazon workers' union victory upheld by U.S. labor board director  Reuters,-0.6257164478302002
2023-01-12,New York Passes Law to Protect Amazon Warehouse Workers  Reveal from The Center for Investigative Reporting,-0.0035389363765716553
2023-01-12,Multilingual customer support translation made easy on Salesforce Service Cloud using Amazon Translate  Amazon Web Services,0.04755999147891998
2023-01-13,Amazon employees share what MLK Day means to them  About Amazon,0.017019452527165413
2023-01-13,"Fired from Amazon for her activism, Maren Costa is calling for climate action at Microsoft  GeekWire",-0.6467631459236145
2023-01-15,Ecuador Tried to Curb Drilling and Protect the Amazon. The Opposite Happened. (Published 2023)  The New York Times,0.019210845232009888
2023-01-16,How to encrypt sensitive caller voice input in Amazon Lex  Amazon Web Services,0.01922016032040119
2023-01-16,I Took an Amazon Warehouse Job to Manage My Depression — and It Worked  Business Insider,0.20858176052570343
2023-01-17,Holiday Recap: Why Retailers Need an Ecosystem Strategy in an Amazon World  Bain & Company,0.06445416063070297
2023-01-17,Visualize and gain insights into your AWS cost and usage with Amazon Managed Grafana  Amazon Web Services,0.05854178965091705
2023-01-17,Climate Change Likely to Uproot More Amazon Trees  Berkeley Lab News Center (.gov),-0.05420900508761406
2023-01-17,Nebraska’s first Amazon ‘fulfillment center’ opens on sprawling Sarpy County site  Nebraska Examiner,0.1822032481431961
2023-01-18,"Amazon's Prime membership program stopped growing in the US for the first time ever, according to new estimates  Business Insider",-0.954423189163208
2023-01-18,"Amazon begins next round of layoffs, as tech giant cuts total of more than 18,000 jobs  USA Today",-0.9592846035957336
2023-01-18,Amazon closing AmazonSmile to focus its philanthropic giving to programs with greater impact  About Amazon,0.1053210198879242
