Date,Text,sentiment_score
2023-01-02,Microsoft celebrates Future Ready Champions of Code with over 100K developers and technology enthusiasts  Microsoft Source,0.4376929998397827
2023-01-03,"AI training program helps close gender gap, bringing fresh faces to Europe’s digital workforce  Microsoft Source",0.7231572270393372
2023-01-03,The power of innovation: How Kent School District accelerates student success with Microsoft 365 and Surface  Microsoft,0.40128904581069946
2023-01-03,Employees at India’s largest bank embrace the citizen developer revolution with Microsoft Power Apps  Microsoft Source,0.22346588969230652
2023-01-04,The future of mobility is now: Five themes to watch at CES 2023  The Official Microsoft Blog,0.024129219353199005
2023-01-04,Get more done with Excel and Power Automate!  Microsoft,0.1259268820285797
2023-01-05,M12 ventures down a new path  The Official Microsoft Blog,0.11075892299413681
2023-01-09,"Zabka Group launches autonomous Nano stores powered by AiFi and Microsoft Cloud for Retail, gains high customer ratings  Microsoft",0.9375386834144592
2023-01-09,5 Microsoft tips for securing identity and access | Microsoft Security Blog  Microsoft,0.011833708733320236
2023-01-09,Bringing Microsoft’s commerce platform to Microsoft Azure  Microsoft,0.0720866397023201
2023-01-09,Microsoft eyes $10 billion bet on ChatGPT owner  https-//www.semafor.com,0.0667186826467514
2023-01-09,QIAGEN’s digital solutions based on Microsoft Azure lead to faster results in medical diagnostics  Microsoft,0.7692660093307495
2023-01-10,What New Terms Like ‘Goblin Mode’ Reveal about Work  Microsoft,0.005413537845015526
2023-01-10,How AI is being used to improve mental health  The Official Microsoft Blog,0.04462788254022598
2023-01-10,AI-Powered Productivity Tools to Enhance Workflow Efficiency  Microsoft,0.624572217464447
2023-01-10,Resilient Retail  Microsoft,0.4395541548728943
2023-01-10,How Microsoft Teams empowers your retail workers to do more with less  Microsoft,0.10021863877773285
2023-01-10,Microsoft reportedly plans to invest $10 billion in creator of buzzy A.I. tool ChatGPT  CNBC,0.14075367152690887
2023-01-10,"Microsoft in talks to invest $10 bln in ChatGPT-owner OpenAI, Semafor reports  Reuters",0.23968173563480377
2023-01-11,Microsoft giving workers unlimited time off  CBS News,-0.5325610637664795
2023-01-11,Microsoft employees are getting unlimited time off  The Verge,-0.7158390879631042
2023-01-11,Microsoft is switching to the controversial 'unlimited' PTO system  Fortune,-0.019863519817590714
2023-01-11,How Microsoft 365 can help meet your goals | Microsoft 365 Blog  Microsoft,0.0668397918343544
2023-01-12,"Discover how Microsoft is innovating in the metaverse for a sustainable, clean energy future  Microsoft",0.22168251872062683
2023-01-12,Microsoft Bets Big on the Creator of ChatGPT in Race to Dominate A.I. (Published 2023)  The New York Times,0.1652863323688507
2023-01-12,More meaningful check-ins with Microsoft Reflect now in Microsoft Teams  Microsoft,0.2879842519760132
2023-01-12,Creating learn-it-alls at Microsoft with Viva Learning and LinkedIn Learning Hub  Microsoft,0.08667550981044769
2023-01-12,"“I’ve always known I was Black, but I didn’t have the full understanding of what it really means to be Black in corporate America.”  Microsoft Source",-0.02025662735104561
2023-01-13,Graph AI for organizational analytics  Microsoft,0.015476983040571213
2023-01-13,Meet your goals in 2023 with Microsoft Viva Goals | Microsoft 365 Blog  Microsoft,0.04683637619018555
2023-01-13,Dell Technologies boosts culture and eNPS scores by using Microsoft 365 to modernize work for its global employees  Microsoft,0.7243212461471558
2023-01-17,"General availability of Azure OpenAI Service expands access to large, advanced AI models with added enterprise benefits  Microsoft Azure",0.7933451533317566
2023-01-17,"E-News | Microsoft Teams recommended for meetings, engagement  West Virginia University",0.0041208416223526
2023-01-17,Microsoft to expand ChatGPT access as OpenAI investment rumors swirl  Reuters,0.8987153768539429
2023-01-18,Microsoft Hosted Sting Performance in Davos on Night Before Announcing Layoffs  The Wall Street Journal,-0.7265186905860901
2023-01-18,"Microsoft to shed 10,000 jobs, adding to glut of tech layoffs  Reuters",-0.957496166229248
2023-01-18,"Microsoft is laying off 10,000 employees  CNBC",-0.9466633796691895
2023-01-18,"Microsoft announces big layoffs that will affect 10,000 employees  The Verge",-0.959673285484314
2023-01-18,"Microsoft to cut 10,000 jobs as spending slows  BBC",-0.9562202095985413
2023-01-18,How to Use Microsoft Lists For Work Management and Tracking  Petri IT Knowledgebase,0.01974186860024929
2023-01-18,"Microsoft is laying off 10,000 employees  CNN",-0.9591145515441895
2023-01-18,"Microsoft to Lay Off 10,000 Workers as It Looks to Trim Costs (Published 2023)  The New York Times",-0.9416871666908264
2023-01-18,"Microsoft to lay off 10,000 employees starting Wednesday; roughly 5% of workforce affected  USA Today",-0.9629557132720947
2023-01-18,"Microsoft slashes 10,000 jobs, the latest in a wave of layoffs  NPR",-0.95991051197052
2023-01-18,"Full memo: Microsoft to cut 10k jobs, about 5% of workforce, and take $1.2B restructuring charge  GeekWire",-0.9584974646568298
2023-01-18,Risk-based quality management: Cyntegrity uses Microsoft Azure to increase data integrity in clinical trials  Microsoft,0.6504677534103394
2023-01-18,"Amid Layoffs, Microsoft Is Moving to Unlimited Time Off  SHRM",-0.8439651727676392
2023-01-19,Revolutionizing Document AI with Multimodal Document Foundation Models  Microsoft,0.1022564247250557
2023-01-19,Microsoft is the latest in a wave of tech companies to announce layoffs  NPR,-0.9485915899276733
2023-01-19,AI Isn’t to Blame for Layoffs at Microsoft and Other Tech Companies  Time Magazine,-0.8985061645507812
2023-01-20,How technology helped Ukraine resist during wartime - CEE Multi-Country News Center  Microsoft Source,0.026811104267835617
2023-01-23,Microsoft confirms multibillion dollar investment in firm behind ChatGPT  The Guardian,0.6602304577827454
2023-01-23,Microsoft Security innovations for 2023 | Microsoft Security Blog  Microsoft,-0.006130725145339966
2023-01-23,"Microsoft invests billions more dollars in OpenAI, extends partnership  TechCrunch",0.6125008463859558
2023-01-23,ChatGPT: Microsoft to invest billions in chatbot maker OpenAI  BBC,0.32000017166137695
